ano,cpb,titulo,direcao,genero,produtora_maj,produtora_min,distribuidora,uf_bruto,uf2_bruto,max_salas,publico,renda_corrente,uf_maj,n_ufs,coproducao,decada,filmes_diretor_antes,filmes_distribuidora_antes,filmes_produtora_antes,estreia_do_diretor,experiencia_da_direcao,porte_da_distribuidora,contratos_fsa,projetos_incentivo,recebeu_fsa,recebeu_incentivo,origem_do_fomento,deflator,renda_deflacionada_2024,populacao_br,filmes_no_ano,sucesso_global,mediana_publico_do_ano,sucesso_no_ano
2023,B2200402400000,Eneida,Heloisa Azevedo Passos,Documentário,Maquina Filmes Ltda - Me.,Muiraquita Filmes E Producoes Artisticas Ltda,Máquina Filmes / Taturana Mobilização Social,PR,SP,4,620,5907.32,PR,1.0,1,2020,0,0,0,1,estreante,nova,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,6165.317354607298,,161,0,802.0,0
2023,B2000297200000,Espera,Claudio Gontijo Guimaraes,Documentário,88 Arte Contemporanea Ltda,,Descoloniza Filmes,MG,,1,35,389.49,MG,1.0,0,2020,0,7,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,406.5006562105992,,161,0,802.0,0
2023,B2200409600000,Estados Unidos Do Brasil,"Priscilla Regis Brasil, Gustavo Silva Loureiro Godinho",Documentário,Companhia Amazonica De Filmes S/S Ltda.,,Plano B612,PA,,1,47,465.0,PA,1.0,0,2020,0,0,0,1,estreante,nova,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,485.30849351184526,,161,0,802.0,0
2023,B2300321400000,Eu Deveria Estar Feliz,Claudia Priscilla Andrade Goifman,Documentário,Feel Filmes E Producoes Ltda,Globo Comunicacao E Participacoes S/A,Feel Filmes,SP,RJ,1,17,415.68,SP,1.0,1,2020,0,0,0,1,estreante,nova,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,433.8344829742018,,161,0,802.0,0
2023,B2300343000000,Eu Sou Maria,Clara Isabelle Linhart,Ficção,Globo Comunicação E Participações S/A,Autoria C Producao E Gestao De Conteudo Criativo Ltda - Me /Capuri Filmes Producoes Ltda / Telecine Programacao De Filmes Ltda,Elo Company,RJ,RJ/RJ/RJ,15,436,7256.13,RJ,1.0,1,2020,0,93,2,1,estreante,grande,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,7573.035524787324,,161,0,802.0,0
2023,B2200412400000,Fervo,Felipe Joffily,Ficção,Movi & Art Produções Cinematográficas Ltda,,Disney,SP,,287,11379,212276.44,SP,1.0,0,2020,6,23,0,0,veterana,media,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,221547.43936442496,,161,1,802.0,1
2023,B2200203400000,Fim De Semana No Paraíso Selvagem,Pedro Loureiro Severien,Ficção,Inquieta Cinema Cultura E Comunicação Ltda - Me / Orquestra Cinema Estúdios Ltda,,Inquieta Cine,PE/PE,,3,54,627.0,PE,1.0,0,2020,0,1,0,1,estreante,nova,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,654.3837106062946,,161,0,802.0,0
2023,B2300352400000,Fluxo,Andre Alberto Pellenz,Ficção,Media Bridge Produções Ltda.,,Pipa Produções,RJ,,8,122,1801.91,RJ,1.0,0,2020,1,24,1,0,iniciante,media,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,1880.6069409546863,,161,0,802.0,0
2023,B1900528400000,Franco No Trem Do Medo,Salete Paulina Machado Sirino,Ficção,Sirino E Silvestre Ltda-Me,,Tigre Produções Cinematográficas,PR,,13,9200,93811.0,PR,1.0,0,2020,2,3,0,0,iniciante,nova,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,97908.1184620209,,161,1,802.0,1
2023,B2300062000000,Incompatível Com A Vida,Eliza Ribeiro Capai,Documentário,Tva2 Produções Ltda.,,Descoloniza Filmes,RJ,,6,300,4435.6,RJ,1.0,0,2020,0,7,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,4629.321191013207,,161,0,802.0,0
2023,B2100027200000,Jair Rodrigues - Deixa Que Digam,Rubens Arnaldo Rewald,Documentário,Confeitaria De Cinema Comunicações Ltda,,Elo Company,SP,,24,2138,35905.06,SP,1.0,0,2020,0,93,0,1,estreante,grande,2.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,37473.18403882239,,161,0,802.0,1
2023,B2100501800000,La Parle,"Simon Boulier, Kevin Vanstaen, Gabriela Boeri Pacheco De Castro, Fanny Ledoux-Boldini",Ficção,Claraluz Producoes Audiovisuais Ltda,Kinoteka Produções Ltda,Pandora Filmes,SP,SP,10,621,9919.45,SP,1.0,1,2020,0,75,0,1,estreante,grande,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,10352.673840787254,,161,0,802.0,0
2023,B2300037500000,La Situación,Tomas Coelho De Sanson Portella,Ficção,The Walt Disney Company (Brasil) Ltda.,Migdal Produções Cinematográficas Ltda. / Caravela Filmes Ltda.,Disney,SP,RJ/RJ,256,9005,168571.92,SP,1.0,1,2020,1,23,0,0,iniciante,media,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,175934.1603088157,,161,1,802.0,1
2023,B1900453000000,Linha De Frente,"Luiz Felipe Menezes Fleury, Gustavo Gama Rodrigues",Documentário,Losbragas Produções Ltda,Globo Comunicação E Participações S/A,O2 Play,RJ,RJ,2,27,465.71,RJ,1.0,1,2020,0,49,0,1,estreante,media,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,486.04950217935794,,161,0,802.0,0
2023,B2300373000000,Los Delincuentes,Rodrigo Moreno,Ficção,Punta Colorada Produções Audiovisuais Ltda - Me,,Vitrine Filmes,SP,,26,2317,41313.11,SP,1.0,0,2020,0,163,0,1,estreante,grande,2.0,0.0,1.0,0.0,só FSA,1.0436741795953661,43117.426185783115,,161,0,802.0,1
2023,B2200100700000,Luiz Carlini - Guitarrista De Rock,Luiz Carlos Pereira Lucena,Documentário,Ativa Cinema E Video Ltda - Epp,,Lira Filmes,SP,,7,108,1797.57,SP,1.0,0,2020,0,6,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,1876.0773950152422,,161,0,802.0,0
2023,B2000313600000,Luz Nos Trópicos,Paula Maria Gaitan Moscovici,Ficção,Aruac Produções Ltda,Fm Produções Ltda,Descoloniza Filmes,SP,RJ,2,125,1669.78,SP,1.0,1,2020,0,7,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1742.7062716047503,,161,0,802.0,0
2023,B1800479500000,Mãe,Adriana Santos De Vasconcelos,Ficção,Agridoce Filmes Produções Artísticas E Culturais Ltda,,Forte Filmes,DF,,2,58,840.5,DF,1.0,0,2020,0,5,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,877.2081479499052,,161,0,802.0,0
2023,B2300531200000,Mamonas Assassinas O Filme,Edson Spinello,Ficção,Total Entertainment Ltda,Mamonas Assassinas Producoes Ltda,Imagem,RJ,ND/ND,2000,862701,16275136.42,RJ,1.0,1,2020,0,86,1,1,estreante,grande,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,16985939.650946163,,161,1,802.0,1
2023,B2100381700000,Máquina Do Desejo,"Lucas Weglinski Andrade, Joaquim Vicente Arruda Leite De Castro",Documentário,Lucas Weglinski Andrade Producoes / Opy Filmes Ltda.,Canal Brazil S/A,Descoloniza Filmes,SP/SP,RJ,15,3322,53720.53,SP,1.0,1,2020,0,7,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,56066.73007517825,,161,1,802.0,1
2023,B2000142400000,Mares Do Desterro,Sandra Pereira Alves,Ficção,Vagaluzes Filmes Ltda,,Elo Company,SC,,1,108,1442.84,SC,1.0,0,2020,0,93,0,1,estreante,grande,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1505.8548532873779,,161,0,802.0,0
2023,B2300247400000,Marinheiro Das Montanhas,Karim Ainouz,Documentário,Videofilmes Produções Artística Ltda,Globo Comunicação E Participações S/A,Gullane Entretenimento,RJ,RJ,14,2699,41154.24,RJ,1.0,1,2020,0,8,0,1,estreante,pequena,2.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,42951.6176688708,,161,0,802.0,1
2023,B2000076800000,Mato Seco Em Chamas,"Joana Chadwick Luis Pimenta, Adirley Queiros De Andrade",Ficção,Cinco Da Norte-Serviços Audiovisuais Ltda-Me,,Vitrine Filmes,DF,,13,2931,28068.4,DF,1.0,0,2020,0,163,0,1,estreante,grande,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,29294.264342554576,,161,1,802.0,1
2023,B2200393900000,Me Chama Que Eu Vou,Joana Guttman Mariani,Documentário,Globo Comunicação E Participações S/A,Mar Filmes Ltda / Amaia Producoes Audiovisuais E Musicais Ltda / Canal Brazil S/A,Vitrine Filmes,RJ,RJ/SP/RJ,14,1431,21739.83,RJ,1.0,1,2020,0,163,2,1,estreante,grande,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,22689.29923979273,,161,0,802.0,1
2023,B2200442800000,Medusa,Anita De Souza Rocha Magalhaes Da Silveira,Ficção,Bananeira Filmes Ltda.,Mymama Entertainment Producao Ltda. / Telecine Programacao De Filmes Ltda/ Matilha Filmes Ltda - Epp / Canal Brazil S/A /,Vitrine Filmes,RJ,SP/RJ/RJ/RJ,14,2753,25344.42,RJ,1.0,1,2020,0,163,1,1,estreante,grande,2.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,26451.316750820388,,161,0,802.0,1
2023,B2300028000000,Memória Sufocada,Gabriel Di Giacomo Rocha,Documentário,Salvatore Filmes Ltda,,Embaúba Filmes,SP,,15,919,13513.43,SP,1.0,0,2020,0,18,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,14103.61796876941,,161,0,802.0,1
